student,vak,activiteit,zaal,dag,tijdslot
Amber,Quantumrekenen,h1,L0.09,Dag1,9
Arjen,Quantumrekenen,h1,L0.09,Dag1,9
Bas,Quantumrekenen,h1,L0.09,Dag1,9
Bram,Quantumrekenen,h1,L0.09,Dag1,9
Britt,Quantumrekenen,h1,L0.09,Dag1,9
Carlijn,Quantumrekenen,h1,L0.09,Dag1,9
Daan,Quantumrekenen,h1,L0.09,Dag1,9
Femke,Quantumrekenen,h1,L0.09,Dag1,9
Hannah,Quantumrekenen,h1,L0.09,Dag1,9
Harm,Quantumrekenen,h1,L0.09,Dag1,9
Joep,Quantumrekenen,h1,L0.09,Dag1,9
Kees,Quantumrekenen,h1,L0.09,Dag1,9
Mees,Quantumrekenen,h1,L0.09,Dag1,9
Noor,Quantumrekenen,h1,L0.09,Dag1,9
Puck,Quantumrekenen,h1,L0.09,Dag1,9
Quinn,Quantumrekenen,h1,L0.09,Dag1,9
Rens,Quantumrekenen,h1,L0.09,Dag1,9
Sanne,Quantumrekenen,h1,L0.09,Dag1,9
Tess,Quantumrekenen,h1,L0.09,Dag1,9
Teun,Quantumrekenen,h1,L0.09,Dag1,9
Umut,Quantumrekenen,h1,L0.09,Dag1,9
Veerle,Quantumrekenen,h1,L0.09,Dag1,9
Ward,Quantumrekenen,h1,L0.09,Dag1,9
Wessel,Quantumrekenen,h1,L0.09,Dag1,9
Xavi,Quantumrekenen,h1,L0.09,Dag1,9
Zeno,Quantumrekenen,h1,L0.09,Dag1,9
Amber,Quantumrekenen,h2,L0.10,Dag1,9
Arjen,Quantumrekenen,h2,L0.10,Dag1,9
Bas,Quantumrekenen,h2,L0.10,Dag1,9
Bram,Quantumrekenen,h2,L0.10,Dag1,9
Britt,Quantumrekenen,h2,L0.10,Dag1,9
Carlijn,Quantumrekenen,h2,L0.10,Dag1,9
Daan,Quantumrekenen,h2,L0.10,Dag1,9
Femke,Quantumrekenen,h2,L0.10,Dag1,9
Hannah,Quantumrekenen,h2,L0.10,Dag1,9
Harm,Quantumrekenen,h2,L0.10,Dag1,9
Joep,Quantumrekenen,h2,L0.10,Dag1,9
Kees,Quantumrekenen,h2,L0.10,Dag1,9
Mees,Quantumrekenen,h2,L0.10,Dag1,9
Noor,Quantumrekenen,h2,L0.10,Dag1,9
Puck,Quantumrekenen,h2,L0.10,Dag1,9
Quinn,Quantumrekenen,h2,L0.10,Dag1,9
Rens,Quantumrekenen,h2,L0.10,Dag1,9
Sanne,Quantumrekenen,h2,L0.10,Dag1,9
Tess,Quantumrekenen,h2,L0.10,Dag1,9
Teun,Quantumrekenen,h2,L0.10,Dag1,9
Umut,Quantumrekenen,h2,L0.10,Dag1,9
Veerle,Quantumrekenen,h2,L0.10,Dag1,9
Ward,Quantumrekenen,h2,L0.10,Dag1,9
Wessel,Quantumrekenen,h2,L0.10,Dag1,9
Xavi,Quantumrekenen,h2,L0.10,Dag1,9
Zeno,Quantumrekenen,h2,L0.10,Dag1,9
Amber,Quantumrekenen,w1,L0.09,Dag1,11
Arjen,Quantumrekenen,w1,L0.09,Dag1,11
Bas,Quantumrekenen,w1,L0.09,Dag1,11
Bram,Quantumrekenen,w1,L0.09,Dag1,11
Britt,Quantumrekenen,w1,L0.09,Dag1,11
Carlijn,Quantumrekenen,w1,L0.09,Dag1,11
Daan,Quantumrekenen,w1,L0.09,Dag1,11
Femke,Quantumrekenen,w1,L0.09,Dag1,11
Hannah,Quantumrekenen,w1,L0.09,Dag1,11
Harm,Quantumrekenen,w1,L0.09,Dag1,11
Joep,Quantumrekenen,w1,L0.09,Dag1,11
Kees,Quantumrekenen,w1,L0.09,Dag1,11
Mees,Quantumrekenen,w1,L0.09,Dag1,11
Noor,Quantumrekenen,w1,L0.10,Dag1,11
Puck,Quantumrekenen,w1,L0.10,Dag1,11
Quinn,Quantumrekenen,w1,L0.10,Dag1,11
Rens,Quantumrekenen,w1,L0.10,Dag1,11
Sanne,Quantumrekenen,w1,L0.10,Dag1,11
Tess,Quantumrekenen,w1,L0.10,Dag1,11
Teun,Quantumrekenen,w1,L0.10,Dag1,11
Umut,Quantumrekenen,w1,L0.10,Dag1,11
Veerle,Quantumrekenen,w1,L0.10,Dag1,11
Ward,Quantumrekenen,w1,L0.10,Dag1,11
Wessel,Quantumrekenen,w1,L0.10,Dag1,11
Xavi,Quantumrekenen,w1,L0.10,Dag1,11
Zeno,Quantumrekenen,w1,L0.10,Dag1,11
Casper,Statistisch Redeneren,h1,L0.09,Dag1,13
Coen,Statistisch Redeneren,h1,L0.09,Dag1,13
Demi,Statistisch Redeneren,h1,L0.09,Dag1,13
Elin,Statistisch Redeneren,h1,L0.09,Dag1,13
Emiel,Statistisch Redeneren,h1,L0.09,Dag1,13
Eva,Statistisch Redeneren,h1,L0.09,Dag1,13
Fenna,Statistisch Redeneren,h1,L0.09,Dag1,13
Floris,Statistisch Redeneren,h1,L0.09,Dag1,13
Gijs,Statistisch Redeneren,h1,L0.09,Dag1,13
Guusje,Statistisch Redeneren,h1,L0.09,Dag1,13
Gwen,Statistisch Redeneren,h1,L0.09,Dag1,13
Hidde,Statistisch Redeneren,h1,L0.09,Dag1,13
Ilse,Statistisch Redeneren,h1,L0.09,Dag1,13
Imke,Statistisch Redeneren,h1,L0.09,Dag1,13
Iris,Statistisch Redeneren,h1,L0.09,Dag1,13
Jasmijn,Statistisch Redeneren,h1,L0.09,Dag1,13
Lars,Statistisch Redeneren,h1,L0.09,Dag1,13
Nout,Statistisch Redeneren,h1,L0.09,Dag1,13
Odin,Statistisch Redeneren,h1,L0.09,Dag1,13
Olaf,Statistisch Redeneren,h1,L0.09,Dag1,13
Pleun,Statistisch Redeneren,h1,L0.09,Dag1,13
Roos,Statistisch Redeneren,h1,L0.09,Dag1,13
Sven,Statistisch Redeneren,h1,L0.09,Dag1,13
Ubbo,Statistisch Redeneren,h1,L0.09,Dag1,13
Vera,Statistisch Redeneren,h1,L0.09,Dag1,13
Xena,Statistisch Redeneren,h1,L0.09,Dag1,13
Yara,Statistisch Redeneren,h1,L0.09,Dag1,13
Zoe,Statistisch Redeneren,h1,L0.09,Dag1,13
Casper,Statistisch Redeneren,w1,L0.10,Dag1,13
Coen,Statistisch Redeneren,w1,L0.10,Dag1,13
Demi,Statistisch Redeneren,w1,L0.10,Dag1,13
Elin,Statistisch Redeneren,w1,L0.10,Dag1,13
Emiel,Statistisch Redeneren,w1,L0.10,Dag1,13
Eva,Statistisch Redeneren,w1,L0.10,Dag1,13
Fenna,Statistisch Redeneren,w1,L0.10,Dag1,13
Floris,Statistisch Redeneren,w1,L0.10,Dag1,13
Gijs,Statistisch Redeneren,w1,L0.10,Dag1,13
Guusje,Statistisch Redeneren,w1,L0.10,Dag1,13
Gwen,Statistisch Redeneren,w1,L0.09,Dag1,15
Hidde,Statistisch Redeneren,w1,L0.09,Dag1,15
Ilse,Statistisch Redeneren,w1,L0.09,Dag1,15
Imke,Statistisch Redeneren,w1,L0.09,Dag1,15
Iris,Statistisch Redeneren,w1,L0.09,Dag1,15
Jasmijn,Statistisch Redeneren,w1,L0.09,Dag1,15
Lars,Statistisch Redeneren,w1,L0.09,Dag1,15
Nout,Statistisch Redeneren,w1,L0.09,Dag1,15
Odin,Statistisch Redeneren,w1,L0.09,Dag1,15
Olaf,Statistisch Redeneren,w1,L0.09,Dag1,15
Pleun,Statistisch Redeneren,w1,L0.10,Dag1,15
Roos,Statistisch Redeneren,w1,L0.10,Dag1,15
Sven,Statistisch Redeneren,w1,L0.10,Dag1,15
Ubbo,Statistisch Redeneren,w1,L0.10,Dag1,15
Vera,Statistisch Redeneren,w1,L0.10,Dag1,15
Xena,Statistisch Redeneren,w1,L0.10,Dag1,15
Yara,Statistisch Redeneren,w1,L0.10,Dag1,15
Zoe,Statistisch Redeneren,w1,L0.10,Dag1,15
Anouk,Cryptografie 2,h1,L0.09,Dag2,9
Coen,Cryptografie 2,h1,L0.09,Dag2,9
Dieuwke,Cryptografie 2,h1,L0.09,Dag2,9
Emiel,Cryptografie 2,h1,L0.09,Dag2,9
Eva,Cryptografie 2,h1,L0.09,Dag2,9
Femke,Cryptografie 2,h1,L0.09,Dag2,9
Gijs,Cryptografie 2,h1,L0.09,Dag2,9
Ilse,Cryptografie 2,h1,L0.09,Dag2,9
Koen,Cryptografie 2,h1,L0.09,Dag2,9
Lotte,Cryptografie 2,h1,L0.09,Dag2,9
Merel,Cryptografie 2,h1,L0.09,Dag2,9
Nout,Cryptografie 2,h1,L0.09,Dag2,9
Odin,Cryptografie 2,h1,L0.09,Dag2,9
Olaf,Cryptografie 2,h1,L0.09,Dag2,9
Quinn,Cryptografie 2,h1,L0.09,Dag2,9
Tess,Cryptografie 2,h1,L0.09,Dag2,9
Umut,Cryptografie 2,h1,L0.09,Dag2,9
Xena,Cryptografie 2,h1,L0.09,Dag2,9
Youri,Cryptografie 2,h1,L0.09,Dag2,9
Zeno,Cryptografie 2,h1,L0.09,Dag2,9
