student,vak,activiteit,zaal,dag,tijdslot
Angle,Advanced Heuristics,h1,A1.04,Dag1,9
Buck,Advanced Heuristics,h1,A1.04,Dag1,9
Eleanora,Advanced Heuristics,h1,A1.04,Dag1,9
Herman,Advanced Heuristics,h1,A1.04,Dag1,9
Jorren,Advanced Heuristics,h1,A1.04,Dag1,9
Kaoutar,Advanced Heuristics,h1,A1.04,Dag1,9
Kyllian,Advanced Heuristics,h1,A1.04,Dag1,9
Malte,Advanced Heuristics,h1,A1.04,Dag1,9
Mellisa,Advanced Heuristics,h1,A1.04,Dag1,9
Myron,Advanced Heuristics,h1,A1.04,Dag1,9
Nuriye,Advanced Heuristics,h1,A1.04,Dag1,9
Rafaela,Advanced Heuristics,h1,A1.04,Dag1,9
Ruveyda,Advanced Heuristics,h1,A1.04,Dag1,9
Servet,Advanced Heuristics,h1,A1.04,Dag1,9
Seyed,Advanced Heuristics,h1,A1.04,Dag1,9
Shan,Advanced Heuristics,h1,A1.04,Dag1,9
Sola,Advanced Heuristics,h1,A1.04,Dag1,9
Tian,Advanced Heuristics,h1,A1.04,Dag1,9
Vigo,Advanced Heuristics,h1,A1.04,Dag1,9
Vivianne,Advanced Heuristics,h1,A1.04,Dag1,9
Angle,Advanced Heuristics,p1,A1.06,Dag1,9
Buck,Advanced Heuristics,p1,A1.06,Dag1,9
Eleanora,Advanced Heuristics,p1,A1.06,Dag1,9
Herman,Advanced Heuristics,p1,A1.06,Dag1,9
Jorren,Advanced Heuristics,p1,A1.06,Dag1,9
Kaoutar,Advanced Heuristics,p1,A1.06,Dag1,9
Kyllian,Advanced Heuristics,p1,A1.06,Dag1,9
Malte,Advanced Heuristics,p1,A1.06,Dag1,9
Mellisa,Advanced Heuristics,p1,A1.06,Dag1,9
Myron,Advanced Heuristics,p1,A1.06,Dag1,9
Nuriye,Advanced Heuristics,p1,A1.08,Dag1,9
Rafaela,Advanced Heuristics,p1,A1.08,Dag1,9
Ruveyda,Advanced Heuristics,p1,A1.08,Dag1,9
Servet,Advanced Heuristics,p1,A1.08,Dag1,9
Seyed,Advanced Heuristics,p1,A1.08,Dag1,9
Shan,Advanced Heuristics,p1,A1.08,Dag1,9
Sola,Advanced Heuristics,p1,A1.08,Dag1,9
Tian,Advanced Heuristics,p1,A1.08,Dag1,9
Vigo,Advanced Heuristics,p1,A1.08,Dag1,9
Vivianne,Advanced Heuristics,p1,A1.08,Dag1,9
Agelo,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Andre,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Angle,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Ard,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Aynel,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Berit,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Brigitta,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Cheyenna,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Chi,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Deejay,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Desiree,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Edin,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Emil,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Ethan,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Franke,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Frederic,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Fredrika,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Gabriella,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Inas,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Janniek,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Jenske,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Jodi,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Julot,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Jurrian,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Karam,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Ko,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Laurent,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Lisse,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Logan,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Lucienne,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Manuel,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Mattijs,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Narin,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Romy,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Saba,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Solane,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Tevfik,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Timo,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Vincentius,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Wytske,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Yalda,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Yuna,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Ziya,Algoritmen en complexiteit,h1,A1.10,Dag1,9
Agelo,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Andre,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Angle,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Ard,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Aynel,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Berit,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Brigitta,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Cheyenna,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Chi,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Deejay,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Desiree,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Edin,Algoritmen en complexiteit,w1,B0.201,Dag1,9
Emil,Algoritmen en complexiteit,w1,B0.201,Dag1,9
